il_basin_shapes_GenerateNear2.OBJECTID,il_basin_shapes_GenerateNear2.IN_FID,il_basin_shapes_GenerateNear2.NEAR_FID,il_basin_shapes_GenerateNear2.NEAR_DIST,il_basin_shapes_GenerateNear2.NEAR_RANK,il_basin_shapes.FID,il_basin_shapes.gauge_id,IMS_stations_lla_XYTableToPoint1.OBJECTID,IMS_stations_lla_XYTableToPoint1.stationId,IMS_stations_lla_XYTableToPoint1.latitude,IMS_stations_lla_XYTableToPoint1.longitude
344,82,110,5110.28545653451,1,82,il_59195,110,295,30.7787,35.2389
345,83,141,3061.24300396585,1,83,il_60105,141,329,30.048,35.0233
346,83,67,3085.55983980865,2,83,il_60105,67,232,30.048,35.023
347,84,141,3061.24310482705,1,84,il_60110,141,329,30.048,35.0233
348,84,67,3085.55993866907,2,84,il_60110,67,232,30.048,35.023
349,87,130,5756.92524955191,1,87,il_60170,130,316,29.5526,34.952
350,87,32,5860.02129529569,2,87,il_60170,32,64,29.553,34.954
351,88,130,4168.41984634904,1,88,il_60190,130,316,29.5526,34.952
352,88,32,4365.41692137347,2,88,il_60190,32,64,29.553,34.954
353,89,44,0,1,89,il_7105,44,99,32.863,35.374
354,89,56,0,1,89,il_7105,56,205,32.883,35.299
355,89,133,0,1,89,il_7105,133,319,32.8621,35.3741
356,89,138,0,1,89,il_7105,138,325,32.8844,35.3015
357,89,87,88.9023641758829,2,89,il_7105,87,269,32.956,35.328
358,90,34,0,1,90,il_8130,34,67,32.633,35.099
359,90,131,179.563978201062,2,90,il_8130,131,317,32.6028,35.0964
360,90,136,9794.01579184816,3,90,il_8130,136,323,32.7078,35.1784
361,90,53,9930.1288743216,4,90,il_8130,53,186,32.709,35.179
362,91,53,109.389610246842,1,91,il_8140,53,186,32.709,35.179
363,91,136,207.013549888256,2,91,il_8140,136,323,32.7078,35.1784
364,91,34,6083.93374465505,3,91,il_8140,34,67,32.633,35.099
365,91,131,9056.01165622893,4,91,il_8140,131,317,32.6028,35.0964
366,92,7,0,1,92,il_8146,7,16,32.597,35.278
367,92,34,0,1,92,il_8146,34,67,32.633,35.099
368,92,53,0,1,92,il_8146,53,186,32.709,35.179
369,92,121,0,1,92,il_8146,121,306,32.596,35.2769
