il_basin_shape_G_ExportTable.OBJECTID,il_basin_shape_G_ExportTable.IN_FID,il_basin_shape_G_ExportTable.NEAR_FID,il_basin_shape_G_ExportTable.NEAR_DIST,il_basin_shape_G_ExportTable.NEAR_RANK,il_basin_shape_G_ExportTable.FROM_X,il_basin_shape_G_ExportTable.FROM_Y,il_basin_shape_G_ExportTable.NEAR_X,il_basin_shape_G_ExportTable.NEAR_Y,il_basin_shape_G_ExportTable.FID,il_basin_shape_G_ExportTable.gauge_id,IMS_stations_lla_pint.OBJECTID,IMS_stations_lla_pint.stationId,IMS_stations_lla_pint.latitude,IMS_stations_lla_pint.longitude
152,21,156,0.00334989694578014,1,35.5746982908317,33.0212717563027,35.5735,33.0244000000001,21,il_30170,156,354,33.0244,35.5735
153,21,31,0.0080071155658926,2,35.5055428323022,32.9898734085367,35.5070000000001,32.982,21,il_30170,31,62,32.982,35.507
154,21,135,0.074431499115089,3,35.5140873420396,32.9894291817089,35.5135000000001,32.9150000000001,21,il_30170,135,322,32.915,35.5135
155,21,50,0.0758052150370056,4,35.515802873479,32.9898287848081,35.5330000000001,32.9160000000001,21,il_30170,50,123,32.916,35.533
156,22,55,0,1,35.6130000000001,33.1730000000001,35.6130000000001,33.1730000000001,22,il_30175,55,202,33.173,35.613
157,22,72,0,1,35.5700000000001,33.241,35.5700000000001,33.241,22,il_30175,72,241,33.241,35.57
158,22,137,0,1,35.6133,33.1716000000001,35.6133,33.1716000000001,22,il_30175,137,324,33.1716,35.6133
159,22,149,0,1,35.5696,33.2404000000001,35.5696,33.2404000000001,22,il_30175,149,346,33.2404,35.5696
160,22,150,0,1,35.6000000000001,33.2300000000001,35.6000000000001,33.2300000000001,22,il_30175,150,348,33.23,35.6
161,22,154,0,1,35.6000000000001,33.2300000000001,35.6000000000001,33.2300000000001,22,il_30175,154,352,33.23,35.6
162,22,155,0,1,35.5735,33.0244000000001,35.5735,33.0244000000001,22,il_30175,155,353,33.0244,35.5735
163,22,156,0,1,35.5735,33.0244000000001,35.5735,33.0244000000001,22,il_30175,156,354,33.0244,35.5735
164,22,168,0,1,35.6350000000001,33.2277,35.6350000000001,33.2277,22,il_30175,168,498,33.2277,35.635
165,22,169,0,1,35.6350000000001,33.2277,35.6350000000001,33.2277,22,il_30175,169,499,33.2277,35.635
166,22,4,0.00103678420668541,2,35.7828379243631,33.1319759624133,35.7830000000001,33.133,22,il_30175,4,10,33.133,35.783
167,22,31,0.00800710855529095,3,35.5055428193098,32.9898733990025,35.5070000000001,32.982,22,il_30175,31,62,32.982,35.507
168,22,118,0.0124327342323033,4,35.7942942044863,33.1216996747665,35.8045000000001,33.1288000000001,22,il_30175,118,303,33.1288,35.8045
169,22,135,0.0744314979239219,5,35.5140873351882,32.9894291805718,35.5135000000001,32.9150000000001,22,il_30175,135,322,32.915,35.5135
170,22,50,0.0758052160071897,6,35.5158028513225,32.9898287806432,35.5330000000001,32.9160000000001,22,il_30175,50,123,32.916,35.533
171,22,113,0.0826330372281416,7,35.3950078753607,33.0053100852434,35.3287,32.9560000000001,22,il_30175,113,298,32.956,35.3287
172,22,87,0.0831957923638668,8,35.3950078753607,33.0053100852434,35.328,32.9560000000001,22,il_30175,87,269,32.956,35.328
173,23,31,0,1,35.5070000000001,32.982,35.5070000000001,32.982,23,il_31110,31,62,32.982,35.507
174,23,135,0.00308261904639302,2,35.5104780800664,32.9156087200504,35.5135000000001,32.9150000000001,23,il_31110,135,322,32.915,35.5135
